query_event_id,query_index,semantic_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_combo_score,shock_cosine,shock_l2_distance,macro_mean_abs_z_diff,evidence_cosine,embedding_cosine_semantic,similarity_for_baseline,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0122,61,api,1,FOMC_0120,1.5,61,0.61802304018225,0.8040302522073698,0.6260507132695088,0.26359301407983193,0.3480509403064148,0.9550634853532138,0.9550644853532139,2019-01-30,0.0158,0.0057,0.0254,-0.0051
FOMC_0122,61,api,2,FOMC_0115,1.5,61,0.5774790770690656,0.7504787743864565,0.7064293674721396,0.4699620647069655,0.129973114199913,0.9260690945301207,0.9260700945301207,2019-06-19,0.0023,0.0061,0.0038,-0.0046
FOMC_0122,61,api,3,FOMC_0118,1.5,61,0.5543427885642882,0.6804138174397718,0.7994825608607462,0.32765194127275443,0.1527081215024262,0.9108212696160365,0.9108222696160365,2019-03-20,-0.003,0.0065,0.004,-0.0058
FOMC_0125,62,api,1,FOMC_0122,1.5,67,0.49011463203476907,0.5163977794943223,0.9834655260919701,0.24707727968552096,0.2695298040312246,0.9694170552042054,0.9694180552042054,2018-12-19,-0.015,-0.0061,-0.0246,0.0004
FOMC_0125,62,api,2,FOMC_0104,1.5,67,0.4688974013606254,0.4961389383568338,1.0038536363864667,0.44339488550172046,0.1204196990271209,0.949323316107425,0.9493243161074251,2019-12-11,0.0028,0.0069,0.0053,-0.0037
FOMC_0125,62,api,3,FOMC_0103,1.5,67,0.52409924765713,0.6324555320336758,0.8573732768944039,0.46375805056086605,0.11041283622303766,0.9452064719995399,0.9452074719995399,2020-01-29,-0.0008,0.0054,0.0016,0.0015
FOMC_0127,63,api,1,FOMC_0130,1.5,58,0.48719658823822315,0.4803844614152615,1.0194268375756435,0.07492404794550661,0.2049148590867271,0.977067819541414,0.977068819541414,2018-06-13,-0.0032,0.003,-0.0001,-0.0016
FOMC_0127,63,api,2,FOMC_0135,1.5,58,0.5078900405353053,0.5547001962252291,0.9437158510640486,0.2146024274539634,0.2035719564605564,0.9433184435706177,0.9433194435706177,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0127,63,api,3,FOMC_0150,1.5,58,0.5506241774371793,0.6923076923076924,0.7844645405527362,0.46416679370718,0.2220009291158796,0.9404401158497127,0.9404411158497127,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0129,64,api,1,FOMC_0130,1.5,61,0.6175907680395532,0.7745966692414834,0.6714213740394577,0.04566436501278014,0.5758589048388506,0.96790439526657,0.96790539526657,2018-06-13,-0.0032,0.003,-0.0001,-0.0016
FOMC_0129,64,api,2,FOMC_0132,1.5,61,0.3112934248292849,0.0,1.414213562373095,0.08795794044144199,0.14667930907413954,0.9648787078271974,0.9648797078271975,2018-05-02,-0.0067,-0.0005,-0.0058,0.0045
FOMC_0129,64,api,3,FOMC_0136,1.5,61,0.3551875585173729,0.14907119849998596,1.3045526447790552,0.20574228340219902,0.22902375835220307,0.9609895844098783,0.9609905844098783,2018-01-31,0.0005,0.0067,0.0042,-0.0013
FOMC_0130,65,api,1,FOMC_0127,1.5,60,0.48719658823822315,0.4803844614152615,1.0194268375756435,0.07492404794550661,0.2049148590867271,0.977067819541414,0.977068819541414,2018-09-26,-0.003,-0.0053,0.0007,0.0004
FOMC_0130,65,api,2,FOMC_0129,1.5,60,0.6175907680395532,0.7745966692414834,0.6714213740394577,0.04566436501278014,0.5758589048388506,0.96790439526657,0.96790539526657,2018-08-01,-0.0017,-0.0073,0.0038,0.0012
FOMC_0130,65,api,3,FOMC_0150,1.5,60,0.46562681422969227,0.4803844614152615,1.0194268375756435,0.39847065807347004,0.1510429069123017,0.9554103909654649,0.9554113909654649,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0132,66,api,1,FOMC_0129,1.5,64,0.3112934248292849,0.0,1.414213562373095,0.08795794044144199,0.14667930907413954,0.9648787078271974,0.9648797078271975,2018-08-01,-0.0017,-0.0073,0.0038,0.0012
FOMC_0132,66,api,2,FOMC_0120,1.5,64,0.4862460250502275,0.5222329678670935,0.9775142271424048,0.34046584642065275,0.13190951846538976,0.9500884663486795,0.9500894663486795,2019-01-30,0.0158,0.0057,0.0254,-0.0051
FOMC_0132,66,api,3,FOMC_0117,1.5,64,0.565501740620415,0.7071067811865475,0.7653668647301795,0.34269364006287995,0.14880303259032004,0.9434561435047943,0.9434571435047944,2019-05-01,-0.0075,-0.0066,-0.0032,0.0011
FOMC_0135,67,api,1,FOMC_0155,1.5,75,0.5487449965035281,0.6804138174397717,0.7994825608607462,0.4116188221841556,0.17448574773482953,0.9640967895890643,0.9640977895890643,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0135,67,api,2,FOMC_0136,1.5,75,0.5102406928085982,0.5555555555555556,0.9428090415820634,0.18462914979150366,0.12650940192217075,0.9589467017055215,0.9589477017055216,2018-01-31,0.0005,0.0067,0.0042,-0.0013
FOMC_0135,67,api,3,FOMC_0146,1.5,75,0.529327809102154,0.628539361054709,0.8619288125423017,0.35991450900491245,0.13464850190471112,0.9589005917178801,0.9589015917178801,2017-06-14,-0.0013,-0.0055,-0.0043,-0.0008
FOMC_0136,68,api,1,FOMC_0153,1.5,44,0.3726414095029016,0.2357022603955158,1.2363638134501382,0.4083941982926098,0.11585040073891076,0.9738262146541571,0.9738272146541571,2017-02-01,0.0004,-0.003,0.0069,0.0008
FOMC_0136,68,api,2,FOMC_0135,1.5,44,0.5102406928085982,0.5555555555555556,0.9428090415820634,0.18462914979150366,0.12650940192217075,0.9589467017055214,0.9589477017055215,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0136,68,api,3,FOMC_0157,1.5,44,0.6824216574059574,0.9428090415820632,0.3382039574515255,0.5774903913022522,0.17569021151775052,0.9583676584137888,0.9583686584137888,2016-11-02,-0.006,0.0074,-0.008,-0.0036
FOMC_0138,69,api,1,FOMC_0135,1.5,52,0.5886677284075956,0.7396002616336388,0.7216643795648516,0.22379172009242854,0.23350171436776315,0.9489932535443044,0.9489942535443044,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0138,69,api,2,FOMC_0155,1.5,52,0.671124417114295,0.9058216273156767,0.4340008587187897,0.3485960490762363,0.14267211648216965,0.9440719230905592,0.9440729230905592,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0138,69,api,3,FOMC_0150,1.5,52,0.5633302365550682,0.6923076923076924,0.7844645405527362,0.2735759069388465,0.16448404229301825,0.939272856622907,0.9392738566229071,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0141,70,api,1,FOMC_0143,1.5,55,0.42356294365856656,0.3162277660168379,1.16942056932753,0.08697743518942593,0.19812560533487703,0.9567054148372856,0.9567064148372856,2017-09-20,0.0004,-0.008,-0.0031,0.008
FOMC_0141,70,api,2,FOMC_0138,1.5,55,0.45385357935216847,0.39223227027636803,1.1025132468352767,0.06135338004074729,0.12843897441753194,0.9299699452520485,0.9299709452520485,2017-12-13,-0.0001,0.0086,0.0019,-0.0069
FOMC_0141,70,api,3,FOMC_0145,1.5,55,0.31038228943923674,0.0,1.4142135623730951,0.1016249712921633,0.16064806210683846,0.8753335989548061,0.8753345989548061,2017-07-26,0.0,0.0081,0.0033,-0.0057
FOMC_0143,71,api,1,FOMC_0141,1.5,50,0.42356294365856656,0.3162277660168379,1.16942056932753,0.08697743518942593,0.19812560533487703,0.9567054148372856,0.9567064148372856,2017-11-01,0.0013,0.0036,-0.0003,0.002
FOMC_0143,71,api,2,FOMC_0138,1.5,50,0.7644912350489649,0.9922778767136676,0.12427488311265757,0.1366404550685558,0.23278963190013935,0.9346563060187428,0.9346573060187429,2017-12-13,-0.0001,0.0086,0.0019,-0.0069
FOMC_0143,71,api,3,FOMC_0136,1.5,50,0.5879226845685472,0.7453559924999298,0.7136441795461799,0.2762951703330417,0.11682749168383426,0.8973158471207336,0.8973168471207337,2018-01-31,0.0005,0.0067,0.0042,-0.0013
FOMC_0145,72,api,1,FOMC_0153,1.5,61,0.46729721342063657,0.4472135954999579,1.0514622242382672,0.17779591247552312,0.1309661156101894,0.9673744376692992,0.9673754376692992,2017-02-01,0.0004,-0.003,0.0069,0.0008
FOMC_0145,72,api,2,FOMC_0146,1.5,61,0.5666684951673759,0.670820393249937,0.8113933777768502,0.07825361890862245,0.5079134247089325,0.9649611478184243,0.9649621478184244,2017-06-14,-0.0013,-0.0055,-0.0043,-0.0008
FOMC_0145,72,api,3,FOMC_0148,1.5,61,0.4224558713873986,0.31622776601683794,1.16942056932753,0.10358351925694567,0.1143768313967383,0.9466146872440774,0.9466156872440774,2017-05-03,-0.0012,-0.014,-0.0032,0.0039
FOMC_0146,73,api,1,FOMC_0150,1.5,60,0.6515214359273475,0.8498365855987975,0.5480208288034362,0.13262573147587162,0.12044418678879149,0.9677919797779497,0.9677929797779498,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0146,73,api,2,FOMC_0145,1.5,60,0.5666684951673759,0.670820393249937,0.8113933777768502,0.07825361890862245,0.5079134247089325,0.9649611478184243,0.9649621478184244,2017-07-26,0.0,0.0081,0.0033,-0.0057
FOMC_0146,73,api,3,FOMC_0155,1.5,60,0.604411555707158,0.7698003589195012,0.6785272891792916,0.20764587361326148,0.1525883400467197,0.9616818745212278,0.9616828745212278,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0148,74,api,1,FOMC_0153,1.5,67,0.5830351383202557,0.7071067811865475,0.7653668647301795,0.07969267456527102,0.18411154328214854,0.9596033206183063,0.9596043206183064,2017-02-01,0.0004,-0.003,0.0069,0.0008
FOMC_0148,74,api,2,FOMC_0164,1.5,67,0.7238407491838489,0.9701425001453319,0.2443665273914089,0.31971668050403523,0.17034109440188705,0.9445857768748696,0.9445867768748696,2016-04-27,0.0021,0.0029,-0.008,-0.0012
FOMC_0148,74,api,3,FOMC_0120,1.5,67,0.5490717089305138,0.6963106238227914,0.7793450791237584,0.5148210001393924,0.09035526235645733,0.9246177105166737,0.9246187105166738,2019-01-30,0.0158,0.0057,0.0254,-0.0051
FOMC_0150,75,api,1,FOMC_0155,1.5,69,0.6884812404036399,0.9058216273156767,0.4340008587187897,0.08824369973606264,0.14331994746725005,0.9762349538185617,0.9762359538185618,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0150,75,api,2,FOMC_0135,1.5,69,0.4967790385822154,0.5547001962252291,0.9437158510640486,0.3812674567503117,0.1652858016837663,0.9622529944583247,0.9622539944583247,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0150,75,api,3,FOMC_0157,1.5,69,0.7346031059122292,0.9805806756909201,0.19707523593328433,0.33146973058947093,0.2630594796002115,0.9568706871815444,0.9568716871815445,2016-11-02,-0.006,0.0074,-0.008,-0.0036
FOMC_0153,76,api,1,FOMC_0145,1.5,71,0.46729721342063657,0.4472135954999579,1.0514622242382672,0.17779591247552312,0.1309661156101894,0.9673744376692992,0.9673754376692992,2017-07-26,0.0,0.0081,0.0033,-0.0057
FOMC_0153,76,api,2,FOMC_0148,1.5,71,0.5830351383202557,0.7071067811865475,0.7653668647301795,0.07969267456527102,0.18411154328214854,0.9596033206183063,0.9596043206183064,2017-05-03,-0.0012,-0.014,-0.0032,0.0039
FOMC_0153,76,api,3,FOMC_0135,1.5,71,0.5614893362897083,0.7071067811865475,0.7653668647301795,0.40287970502348014,0.1361626356511606,0.941099755637933,0.941100755637933,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0155,77,api,1,FOMC_0150,1.5,78,0.6884812404036399,0.9058216273156767,0.4340008587187897,0.08824369973606264,0.14331994746725005,0.9762349538185617,0.9762359538185618,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0155,77,api,2,FOMC_0157,1.5,78,0.6517333795284365,0.8660254037844388,0.5176380902050415,0.2691612478116443,0.1591031742585273,0.9699287551404483,0.9699297551404483,2016-11-02,-0.006,0.0074,-0.008,-0.0036
FOMC_0155,77,api,3,FOMC_0135,1.5,78,0.5487449965035281,0.6804138174397717,0.7994825608607462,0.4116188221841556,0.17448574773482953,0.9640967895890643,0.9640977895890643,2018-03-21,-0.0019,0.0175,-0.0044,-0.008
FOMC_0157,78,api,1,FOMC_0159,1.5,73,0.49601522823267863,0.5144957554275265,0.9853976299671858,0.1470659528908428,0.4564740384523352,0.9887356877002016,0.9887366877002016,2016-09-21,0.0112,0.0146,0.0098,-0.0044
FOMC_0157,78,api,2,FOMC_0155,1.5,73,0.6517333795284365,0.8660254037844388,0.5176380902050415,0.2691612478116443,0.1591031742585273,0.9699287551404483,0.9699297551404483,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0157,78,api,3,FOMC_0136,1.5,73,0.6824216574059574,0.9428090415820632,0.3382039574515255,0.5774903913022522,0.17569021151775052,0.9583676584137888,0.9583686584137888,2018-01-31,0.0005,0.0067,0.0042,-0.0013
FOMC_0159,79,api,1,FOMC_0157,1.5,67,0.49601522823267863,0.5144957554275265,0.9853976299671858,0.1470659528908428,0.4564740384523352,0.9887356877002016,0.9887366877002016,2016-11-02,-0.006,0.0074,-0.008,-0.0036
FOMC_0159,79,api,2,FOMC_0161,1.5,67,0.7152848880952446,0.9411764705882352,0.3429971702850177,0.06526457948098413,0.30356063980980674,0.9614182843676313,0.9614192843676314,2016-07-27,-0.0011,0.0161,0.0069,-0.0048
FOMC_0159,79,api,3,FOMC_0155,1.5,67,0.6118794920023384,0.7921180343813395,0.6447975893544587,0.2637689550455675,0.17985796167583468,0.9596530729029468,0.9596540729029468,2016-12-14,-0.0083,-0.0147,-0.0021,0.0096
FOMC_0161,80,api,1,FOMC_0159,1.5,61,0.7152848880952446,0.9411764705882352,0.3429971702850177,0.06526457948098413,0.30356063980980674,0.9614182843676313,0.9614192843676314,2016-09-21,0.0112,0.0146,0.0098,-0.0044
FOMC_0161,80,api,2,FOMC_0157,1.5,61,0.4285352341918762,0.34299717028501764,1.1463008590374364,0.16206042086460012,0.32323172207564677,0.9554127233691743,0.9554137233691743,2016-11-02,-0.006,0.0074,-0.008,-0.0036
FOMC_0161,80,api,3,FOMC_0150,1.5,61,0.44045408699487987,0.4036036763977875,1.092150469122467,0.3275483169027631,0.234013116181502,0.925759090890131,0.925760090890131,2017-03-15,0.0087,0.0187,0.0062,-0.0118
FOMC_0162,81,api,1,FOMC_0132,1.5,69,0.45085596414870877,0.48507125007266594,1.014818949298183,0.6479174400928178,0.2459353026091757,0.9252675736558196,0.9252685736558196,2018-05-02,-0.0067,-0.0005,-0.0058,0.0045
FOMC_0162,81,api,2,FOMC_0184,1.5,69,0.38510372200876236,0.23529411764705876,1.2366938848016849,0.21924486840468635,0.1638717934577379,0.9247428259851069,0.924743825985107,2015-01-28,-0.0128,-0.0079,-0.0051,0.006
FOMC_0162,81,api,3,FOMC_0172,1.5,69,0.34807707051478565,0.140028008402801,1.3114663484795936,0.2645289220478378,0.1257607115013247,0.9196466009564536,0.9196476009564536,2015-10-28,0.0114,-0.0081,0.0083,0.0083
FOMC_0164,82,api,1,FOMC_0168,1.5,73,0.5824275656384251,0.7378988555115865,0.7240181551431062,0.30522861652906463,0.17394026686794054,0.9673743107610858,0.9673753107610858,2016-01-27,-0.0109,0.0037,-0.0249,-0.0008
FOMC_0164,82,api,2,FOMC_0167,1.5,73,0.6390548147799403,0.824621125123532,0.5922480474876518,0.11129701120853709,0.35269571571094227,0.9462086346426909,0.9462096346426909,2016-03-16,0.0058,0.0223,0.0089,-0.0108
FOMC_0164,82,api,3,FOMC_0148,1.5,73,0.7238407491838489,0.9701425001453319,0.2443665273914089,0.31971668050403523,0.17034109440188705,0.9445857768748696,0.9445867768748696,2017-05-03,-0.0012,-0.014,-0.0032,0.0039
