asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
QQQ_ret,regression,fusion,148,0.5202702702702703,0.4734827264239029,0.013137465185443925,0.02110992793046874,0.9121621621621622,0.07433872004275392,0.05981898823202994,0.03716936002137696,5.6585284142271135
QQQ_ret,regression,fusion_case,148,0.5337837837837838,0.4811391223155929,0.012750473526884852,0.020316795654651394,0.918918918918919,0.07350332796874012,0.05987364801109439,0.03675166398437006,5.76475280025919
SPY_ret,regression,baseline,148,0.4797297297297297,0.4705128205128205,0.011170051195891546,0.017973350412253297,0.9054054054054054,0.06506491645480801,0.058536713985651204,0.032532458227404006,5.82494344150719
SPY_ret,regression,shock_main,148,0.4797297297297297,0.4675824175824176,0.011134558289126921,0.017685782943295692,0.8918918918918919,0.062035582170849,0.054487335926197075,0.0310177910854245,5.571445275150947
SPY_ret,regression,shock_interactions,148,0.5135135135135135,0.5018315018315018,0.011440848628111308,0.018117513428739195,0.8986486486486487,0.06660872722636892,0.0516428179820503,0.03330436361318446,5.822009309930438
SPY_ret,regression,rag_memory,148,0.527027027027027,0.5197802197802198,0.010338650149304768,0.01704001209583281,0.9121621621621622,0.0592451663702544,0.04768178339160099,0.0296225831851272,5.7304547029515644
SPY_ret,regression,shock_rag,148,0.5608108108108109,0.5503663003663004,0.010352562070075262,0.017273983969966135,0.9121621621621622,0.06330746700777008,0.048044001527766715,0.03165373350388504,6.115149716490407
SPY_ret,regression,case_model,148,0.42567567567567566,0.41996336996336997,0.01163313510651139,0.01775737692021505,0.9121621621621622,0.059768780660754965,0.050446527547208374,0.029884390330377483,5.13780508122017
SPY_ret,regression,fusion,148,0.6081081081081081,0.5967032967032967,0.0100731897705212,0.01689229832293655,0.9054054054054054,0.06177622219249417,0.04825754501652518,0.030888111096247086,6.132736858912347
SPY_ret,regression,fusion_case,148,0.581081081081081,0.5673992673992674,0.010082928044409604,0.016420277075419477,0.9256756756756757,0.05926999115525359,0.045176599812692134,0.029634995577626794,5.878251921882487
UUP_ret,regression,baseline,107,0.4953271028037383,0.4477904490377762,0.00533403753726821,0.006836786415506664,0.9439252336448598,0.024018268176542314,0.02158371905638828,0.012009134088271157,4.502830737266072
UUP_ret,regression,shock_main,107,0.5046728971962616,0.4533143264433357,0.005270062367833394,0.006732900472470316,0.9439252336448598,0.023480407134407456,0.021447840134894522,0.011740203567203728,4.455432496913812
UUP_ret,regression,shock_interactions,107,0.514018691588785,0.4668567355666429,0.005323229119408934,0.006851753726062852,0.9439252336448598,0.0240169609560491,0.022742205503637824,0.01200848047802455,4.511727828599613
UUP_ret,regression,rag_memory,107,0.4766355140186916,0.4367426942266572,0.005357945557348646,0.00693273104855053,0.9439252336448598,0.02517946144893252,0.02398411207853139,0.01258973072446626,4.699461982102046
UUP_ret,regression,shock_rag,107,0.5420560747663551,0.4914468995010691,0.005298230683329268,0.006809377522208346,0.9345794392523364,0.02443339943929924,0.023401526935636217,0.01221669971964962,4.611614876675384
UUP_ret,regression,case_model,107,0.514018691588785,0.48823948681397006,0.005562292009935463,0.007134692998286918,0.9345794392523364,0.025654219371788935,0.02398411207853139,0.012827109685894468,4.612166949517379
UUP_ret,regression,fusion,107,0.5233644859813084,0.4777263007840342,0.005305433160334152,0.006843363691534031,0.9439252336448598,0.024191818175841335,0.022709485434808836,0.012095909087920667,4.5598196122251515
UUP_ret,regression,fusion_case,107,0.5327102803738317,0.48592302209550964,0.005233740221372246,0.006718963960326053,0.9345794392523364,0.024513583187879905,0.02372857091907648,0.012256791593939952,4.68376001693348
