asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
QQQ_ret,regression,fusion,148,0.5540540540540541,0.4864612511671335,0.0123429080795076,0.0200329304984914,0.8851351351351351,0.0765545781474725,0.0623506301976064,0.0382772890737362,6.202312911539278
QQQ_ret,regression,fusion_case,148,0.5405405405405406,0.4746965452847805,0.0124307903790601,0.0198293101780253,0.8986486486486487,0.0745137523498169,0.0627403625582201,0.0372568761749084,5.994289186577883
SPY_ret,regression,baseline,148,0.4864864864864865,0.4652014652014651,0.0106221896683639,0.0165318940543366,0.8918918918918919,0.0588597878718474,0.0514722068976696,0.0294298939359237,5.541210401010775
SPY_ret,regression,shock_main,148,0.5,0.4787545787545788,0.0105758596046095,0.0164536693932434,0.8918918918918919,0.0587444244508596,0.0514722068976696,0.0293722122254298,5.554576804825938
SPY_ret,regression,shock_interactions,148,0.527027027027027,0.5087912087912088,0.0105081395528012,0.0164312454570057,0.8783783783783784,0.0591274072404778,0.0484755321171149,0.0295637036202389,5.626819756568211
SPY_ret,regression,rag_memory,148,0.5067567567567568,0.4902930402930402,0.0106548496374191,0.016507191272197,0.8851351351351351,0.0589206133109528,0.0493893482225061,0.0294603066554764,5.529933815680269
SPY_ret,regression,shock_rag,148,0.5067567567567568,0.4902930402930402,0.0106515754306392,0.0164974923083127,0.8851351351351351,0.0588043650436124,0.0493808226183213,0.0294021825218062,5.520719956079147
SPY_ret,regression,case_model,148,0.4256756756756756,0.4199633699633699,0.0116331351065113,0.017757376920215,0.9121621621621622,0.0597687806607549,0.0504465275472083,0.0298843903303774,5.13780508122017
SPY_ret,regression,fusion,148,0.5405405405405406,0.5245421245421246,0.0105758435697114,0.0165500812408298,0.8851351351351351,0.0596155898881787,0.0490764148753123,0.0298077949440893,5.6369583660365254
SPY_ret,regression,fusion_case,148,0.5405405405405406,0.5238095238095238,0.0105532297336468,0.0163997578740033,0.8986486486486487,0.05850950045457,0.0493117170170821,0.029254750227285,5.544226926854848
UUP_ret,regression,baseline,107,0.4859813084112149,0.4743406985032073,0.0053104041156957,0.0068486026240479,0.9626168224299064,0.0239989227170695,0.0224005605129669,0.0119994613585347,4.519227198950266
UUP_ret,regression,shock_main,107,0.5420560747663551,0.5368852459016393,0.0052715704450953,0.0068518592252943,0.9626168224299064,0.0237698773946689,0.0226899606421954,0.0118849386973344,4.509069477917059
UUP_ret,regression,shock_interactions,107,0.514018691588785,0.5016037063435496,0.0053337305167578,0.0068378390262823,0.9626168224299064,0.0240850627315919,0.0227109642857142,0.0120425313657959,4.515612975931183
UUP_ret,regression,rag_memory,107,0.5046728971962616,0.4960798289379899,0.0053403081550678,0.0070288630880718,0.9532710280373832,0.0241719689417422,0.0224577764396461,0.0120859844708711,4.526324743789089
UUP_ret,regression,shock_rag,107,0.514018691588785,0.5016037063435496,0.0053494591291435,0.0069058807730187,0.9345794392523364,0.0241167572738705,0.0227109642857142,0.0120583786369352,4.50826087117555
UUP_ret,regression,case_model,107,0.514018691588785,0.48823948681397,0.0055622920099354,0.0071346929982869,0.9345794392523364,0.0256542193717889,0.0239841120785313,0.0128271096858944,4.612166949517379
UUP_ret,regression,fusion,107,0.5327102803738317,0.5179971489665004,0.0053174039512771,0.0068454884681785,0.9532710280373832,0.0240813558672477,0.0227109642857142,0.0120406779336238,4.528780601944627
UUP_ret,regression,fusion_case,107,0.5514018691588785,0.5317177476835353,0.0051903802151462,0.0066510109293643,0.9345794392523364,0.0238504270755561,0.0220581376734227,0.011925213537778,4.595121375878666
