asset_target,feature_set,task,feature,weight,gain,cover,total_gain,total_cover,weight_share,gain_share,cover_share,total_gain_share,total_cover_share,rank_by_gain
GLD_ret,shock_interactions,regression,inflation_concern_shock_score_minus_rolling_mean,0.2,0.0002213150495663,32.4,0.0002213150495663,32.4,0.0066666666666666,0.0222703385054978,0.0312823265214402,0.0042619456500233,0.0066587200460355,10
GLD_ret,shock_interactions,regression,labor_market_strength_num,0.2,0.0002197714988142,32.8,0.0002197714988142,32.8,0.0066666666666666,0.0221150151426397,0.0316685280834333,0.0042322209230949,0.006740926466357,11
GLD_ret,shock_interactions,regression,T10Y2Y,0.2,0.0001736190170049,33.0,0.0001736190170049,33.0,0.0066666666666666,0.017470814963867,0.0318616288644299,0.0033434455349313,0.0067820296765177,12
GLD_ret,shock_interactions,regression,BAA10Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
GLD_ret,shock_interactions,regression,CPIAUCSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
GLD_ret,shock_interactions,regression,DGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
GLD_ret,shock_interactions,regression,DX-Y.NYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
GLD_ret,shock_interactions,regression,QQQ_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
GLD_ret,shock_interactions,regression,SPY_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
GLD_ret,shock_interactions,regression,UNRATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
GLD_ret,shock_interactions,regression,UUP_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
GLD_ret,shock_interactions,regression,curve_inversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
GLD_ret,shock_interactions,regression,financial_stability_conf_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
GLD_ret,shock_interactions,regression,financial_stability_dir_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
GLD_ret,shock_interactions,regression,financial_stability_dovish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
GLD_ret,shock_interactions,regression,financial_stability_hawkish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
GLD_ret,shock_interactions,regression,financial_stability_shock_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
GLD_ret,shock_interactions,regression,financial_stability_shock_score_minus_rolling_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
GLD_ret,shock_interactions,regression,financial_stability_shock_score_x_curve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
GLD_ret,shock_interactions,regression,financial_stability_shock_score_x_high_vix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
