asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
QQQ_ret,fusion,148,0.6081081081081081,0.5704948646125116,0.013330893876686005,0.02116194174404275,0.9121621621621622,0.07851458099385743,0.05987364801109439,0.039257290496928714,5.889671144346081
QQQ_ret,fusion_case,148,0.5675675675675675,0.5146591970121381,0.013048395845439426,0.020456203509687663,0.9054054054054054,0.07658510788567545,0.05633652559815001,0.038292553942837725,5.869312120266713
SPY_ret,baseline,148,0.5472972972972973,0.5353479853479853,0.011086074021795409,0.01787077140669835,0.8918918918918919,0.060686232357844344,0.057111269873440736,0.030343116178922172,5.4740959007250165
SPY_ret,shock_main,148,0.5135135135135135,0.504029304029304,0.012091543724382335,0.01909195969102187,0.8986486486486487,0.06917440465381326,0.06571149273407795,0.03458720232690663,5.720891081452617
SPY_ret,shock_interactions,148,0.47297297297297297,0.4655677655677656,0.012632803417156696,0.019372963801370397,0.8918918918918919,0.07273751476902687,0.05792377822875489,0.03636875738451344,5.757828438162947
SPY_ret,rag_memory,148,0.5472972972972973,0.5441391941391941,0.010559491340806285,0.016428551116362898,0.9054054054054054,0.05541492335579799,0.04973225423778837,0.027707461677898997,5.247878100117529
SPY_ret,shock_rag,148,0.5945945945945946,0.5912087912087912,0.01044541901501106,0.01586478556339876,0.9054054054054054,0.05557713742583131,0.04892515688431712,0.027788568712915657,5.320718809457206
SPY_ret,case_model,148,0.42567567567567566,0.41996336996336997,0.01163313510651139,0.01775737692021505,0.9121621621621622,0.059768780660754965,0.050446527547208374,0.029884390330377483,5.13780508122017
SPY_ret,fusion,148,0.5540540540540541,0.5498168498168499,0.011087994395619138,0.01724506563660152,0.9054054054054054,0.06346996813806992,0.0489818424217305,0.03173498406903496,5.724206368930604
SPY_ret,fusion_case,148,0.5337837837837838,0.5269230769230769,0.01089676089767517,0.016756645433826357,0.918918918918919,0.062129413422651346,0.04910752250006224,0.031064706711325673,5.701640515568869
UUP_ret,baseline,107,0.4953271028037383,0.47719173200285103,0.005301313959853063,0.007012260393132028,0.9439252336448598,0.026144449375747662,0.024091191897882926,0.013072224687873831,4.9316923264194505
UUP_ret,shock_main,107,0.48598130841121495,0.46364932287954386,0.005506641250461373,0.007114474829267086,0.9439252336448598,0.025773462895007423,0.023287291303718143,0.012886731447503711,4.680432540043897
UUP_ret,shock_interactions,107,0.514018691588785,0.5016037063435496,0.005527147516774417,0.007117366106956852,0.9532710280373832,0.02460314766233787,0.023161526960383497,0.012301573831168935,4.451328210016005
UUP_ret,rag_memory,107,0.48598130841121495,0.45563079116179617,0.005364502310800156,0.006961496608902408,0.9345794392523364,0.02595298495919873,0.024474975565662246,0.012976492479599365,4.837911041057534
UUP_ret,shock_rag,107,0.4953271028037383,0.46917320028510334,0.005456391209071788,0.007176086582207255,0.9439252336448598,0.026427702191502776,0.024695701139273343,0.013213851095751388,4.843439771613904
UUP_ret,case_model,107,0.514018691588785,0.48823948681397006,0.005562292009935463,0.007134692998286918,0.9345794392523364,0.025654219371788935,0.02398411207853139,0.012827109685894468,4.612166949517379
UUP_ret,fusion,107,0.5420560747663551,0.5261938702779758,0.0052188225952417774,0.007128838263330635,0.9532710280373832,0.025082870508744526,0.023606996780170766,0.012541435254372263,4.80623168367778
UUP_ret,fusion_case,107,0.5887850467289719,0.564504632929437,0.005163638240715772,0.0069822003734826875,0.9439252336448598,0.02424917007045581,0.023242390371102723,0.012124585035227904,4.696140383973615
