segment,segment_start,segment_end,asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,QQQ_ret,shock_interactions,63,0.5555555555555556,0.47445652173913044,0.012483608995693512,0.018778520659695586,0.9206349206349206,0.0925003660668494,0.09108596584511858,0.0462501830334247,7.409745539031171
2008_2015,2008-01-01,2015-12-31,QQQ_ret,rag_memory,63,0.6031746031746031,0.5211956521739131,0.013509733000070521,0.01969469223600348,0.9047619047619048,0.08981738446780717,0.07518205412386468,0.044908692233903584,6.648346378669239
2008_2015,2008-01-01,2015-12-31,QQQ_ret,shock_rag,63,0.6031746031746031,0.5211956521739131,0.013839176013469522,0.021158586872631904,0.9206349206349206,0.10008014129618367,0.08098094647328237,0.050040070648091836,7.2316546302161875
2008_2015,2008-01-01,2015-12-31,QQQ_ret,case_model,63,0.5238095238095238,0.48641304347826086,0.011946675893893512,0.01670835092433689,0.9523809523809523,0.08316471999176152,0.06315787720043439,0.04158235999588076,6.961327211887516
2008_2015,2008-01-01,2015-12-31,QQQ_ret,fusion,63,0.6190476190476191,0.5152173913043478,0.013357456968453158,0.021358970307665603,0.9523809523809523,0.10787699068925216,0.0947746892070134,0.05393849534462608,8.076162322216689
2008_2015,2008-01-01,2015-12-31,QQQ_ret,fusion_case,63,0.6031746031746031,0.4842391304347826,0.013162576284308915,0.02089418373707666,0.9523809523809523,0.10631357586466979,0.09549229730360834,0.053156787932334894,8.076958003381604
2008_2015,2008-01-01,2015-12-31,SPY_ret,baseline,63,0.6349206349206349,0.5528846153846154,0.012063349154772227,0.016732902468643285,0.8888888888888888,0.07216095497888547,0.0682355502784949,0.036080477489442736,5.981834236335504
2008_2015,2008-01-01,2015-12-31,SPY_ret,shock_main,63,0.5873015873015873,0.5224358974358974,0.013101503548964475,0.018995562105382266,0.9047619047619048,0.08472595693971924,0.071745518680637,0.04236297846985962,6.466888065409551
2008_2015,2008-01-01,2015-12-31,SPY_ret,shock_interactions,63,0.47619047619047616,0.4326923076923077,0.015120613834786885,0.021271964926895884,0.9047619047619048,0.09549639069707457,0.10438277899805708,0.04774819534853728,6.315642456086871
2008_2015,2008-01-01,2015-12-31,SPY_ret,rag_memory,63,0.5555555555555556,0.5128205128205128,0.011597242049162518,0.015390576820674053,0.9206349206349206,0.06796710690102899,0.06463220796828936,0.03398355345051449,5.860626743229624
