segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion,63,0.5238095238095238,0.4951923076923077,0.0143844793285477,0.0186971618663061,0.8571428571428571,0.0741964267341887,0.0650997609149125,0.0370982133670943,5.158089148693549
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion_case,63,0.4761904761904761,0.4326923076923077,0.0135894351382915,0.0173714295031392,0.9047619047619048,0.0709251794927056,0.0650781999532687,0.0354625897463528,5.219141102697992
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,baseline,22,0.4545454545454545,0.4545454545454545,0.0067992281688005,0.0089247640682862,0.9545454545454546,0.0259691543006302,0.0227957536791761,0.0129845771503151,3.819426801970616
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_main,22,0.4090909090909091,0.409090909090909,0.0083079625726184,0.01002742986247,0.8636363636363636,0.0253488196401687,0.0227957536791761,0.0126744098200843,3.0511475489446553
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_interactions,22,0.4545454545454545,0.4545454545454545,0.008200189128762,0.0103109687983576,0.8181818181818182,0.026200632790763,0.0227957536791761,0.0131003163953815,3.195125426908095
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,rag_memory,22,0.4090909090909091,0.409090909090909,0.0073191457884167,0.009393106781053,0.9545454545454546,0.0264210620779244,0.0227957536791761,0.0132105310389622,3.609855964303709
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_rag,22,0.3636363636363636,0.3636363636363636,0.0093624256772076,0.0112077809989564,0.7727272727272727,0.0257024562567054,0.0227957536791761,0.0128512281283527,2.7452774679191103
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,case_model,22,0.4545454545454545,0.4545454545454545,0.0065647147317482,0.0080208870739659,0.8636363636363636,0.0239835703933116,0.0227957536791761,0.0119917851966558,3.653406335742582
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion,22,0.3636363636363636,0.3636363636363636,0.0092892548509251,0.0115204970362012,0.7272727272727273,0.0263647068969374,0.0227957536791761,0.0131823534484687,2.838193947742943
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion_case,22,0.4090909090909091,0.409090909090909,0.0081678479287131,0.0099605272704635,0.8181818181818182,0.0257773507433301,0.0227957536791761,0.012888675371665,3.1559538042711095
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,baseline,33,0.5454545454545454,0.4736842105263157,0.0092623996379741,0.0116045305648688,1.0,0.0578767775128394,0.0554247474455594,0.0289383887564197,6.24857269983849
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_main,33,0.4545454545454545,0.4135338345864662,0.0119570508490226,0.014850656465055,0.9393939393939394,0.0638100654873869,0.061904429785238,0.0319050327436934,5.336605680873433
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_interactions,33,0.4848484848484848,0.4586466165413533,0.0104836786564175,0.0133923769141061,0.9696969696969696,0.0709446923560114,0.0714800671338155,0.0354723461780057,6.767156327572391
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,rag_memory,33,0.5454545454545454,0.4736842105263157,0.0098984834036596,0.0120145717267153,1.0,0.061295468067543,0.0591449324589871,0.0306477340337715,6.192410045854177
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_rag,33,0.4545454545454545,0.4135338345864662,0.0121018907742058,0.0150938130320425,0.9696969696969696,0.0689513573320378,0.0694725642549158,0.0344756786660189,5.697568968231137
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,case_model,33,0.4848484848484848,0.4398496240601504,0.0089927418262232,0.0113416430098225,1.0,0.0623013777171619,0.0623776724978382,0.0311506888585809,6.927962452506825
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion,33,0.4848484848484848,0.4492481203007519,0.0112394985166481,0.014407379196898,0.9696969696969696,0.0732086153401027,0.0683835530544327,0.0366043076700513,6.513512611943056
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion_case,33,0.5151515151515151,0.4661654135338345,0.0108614381056256,0.0137734935870228,1.0,0.0691941602611191,0.068221214069766,0.0345970801305595,6.3706260246771835
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,baseline,33,0.4848484848484848,0.4779411764705882,0.0075528588801861,0.009940121367165,0.9696969696969696,0.0549167662320996,0.0540460027577368,0.0274583831160498,7.270990641194925
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_main,33,0.5151515151515151,0.5091911764705883,0.0100817550318272,0.0129051558838799,1.0,0.0716905314211081,0.0719767946922988,0.035845265710554,7.110917810915601
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_interactions,33,0.4848484848484848,0.4779411764705882,0.0101919515092731,0.0126522441993525,1.0,0.0768354126714259,0.0762095775878235,0.0384177063357129,7.538832244395705
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,rag_memory,33,0.5151515151515151,0.5110294117647058,0.0083927546425394,0.0123272950777702,0.9393939393939394,0.0697455398159647,0.0736893939308613,0.0348727699079823,8.310208362633789
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_rag,33,0.5151515151515151,0.5128676470588236,0.0097129917207562,0.0119393064312085,1.0,0.0715867882130233,0.0679222171801662,0.0357933941065116,7.370209948809596
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,case_model,33,0.303030303030303,0.3014705882352941,0.0099510741809831,0.0143912820123779,0.9090909090909092,0.050042573981885,0.0557889219619771,0.0250212869909425,5.028861515022974
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,fusion,33,0.5757575757575758,0.5698529411764706,0.0113248250319062,0.0143549833714661,0.9696969696969696,0.0789252283284721,0.0747969335132832,0.039462614164236,6.969222756741087
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,fusion_case,33,0.5757575757575758,0.5716911764705883,0.0100933408579089,0.0138824367483241,0.9696969696969696,0.0759142299349361,0.073418957901184,0.037957114967468,7.521219287412758
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,baseline,33,0.5454545454545454,0.5112781954887218,0.0049678051893228,0.0064016194063596,1.0,0.0465926986403623,0.0465406649673082,0.0232963493201811,9.378930305178269
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_main,33,0.4545454545454545,0.4135338345864662,0.0074668594840618,0.0091400482827739,0.9696969696969696,0.0545646120415756,0.0492348282864733,0.0272823060207878,7.307571832313848
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_interactions,33,0.4242424242424242,0.3872180451127819,0.0082998767697382,0.0100623956420998,1.0,0.0543955164841838,0.0537803202731059,0.0271977582420919,6.553773988851534
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,rag_memory,33,0.6363636363636364,0.618421052631579,0.0051624803192242,0.0071674941196776,0.9696969696969696,0.054069979315363,0.0549231609810492,0.0270349896576815,10.473643669693924
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_rag,33,0.5757575757575758,0.556390977443609,0.0077106164329556,0.0096746853122314,0.9696969696969696,0.0542108717600442,0.0535574878558975,0.0271054358800221,7.030679353773046
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,case_model,33,0.2727272727272727,0.2650375939849624,0.0077614090963739,0.0111745196956842,0.9090909090909092,0.0418570256453741,0.0434050890688594,0.020928512822687,5.392967324055811
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,fusion,33,0.5454545454545454,0.5206766917293233,0.0075085039614374,0.0097758727811389,1.0,0.05809955847568,0.0585265649161859,0.02904977923784,7.737834164311661
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,fusion_case,33,0.4848484848484848,0.4680451127819549,0.0071642897976465,0.0094103340753771,0.9696969696969696,0.0543310531990147,0.0533092233355066,0.0271655265995073,7.58359233553931
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,baseline,33,0.5454545454545454,0.5038461538461538,0.0040122719079262,0.0054505138434199,0.9393939393939394,0.0322156564153651,0.0262135681589206,0.0161078282076825,8.029280456223026
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_main,33,0.5757575757575758,0.5153846153846154,0.0056171430699234,0.0068736785729741,0.9696969696969696,0.0349504077894299,0.0421053238787795,0.0174752038947149,6.222096776663723
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_interactions,33,0.5454545454545454,0.4903846153846154,0.0054402503572886,0.0068315995985717,0.9696969696969696,0.0373589001341936,0.041477462898551,0.0186794500670968,6.867128841624325
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,rag_memory,33,0.5757575757575758,0.5288461538461539,0.0043593923637786,0.0057445954113426,0.9393939393939394,0.0313547954168339,0.0229568573664599,0.0156773977084169,7.192469225150555
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_rag,33,0.5454545454545454,0.4903846153846154,0.0062895316892689,0.0073853785575575,0.9696969696969696,0.0404724012382834,0.0436723259169868,0.0202362006191417,6.434883110190297
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,case_model,33,0.4242424242424242,0.3634615384615385,0.0055344357703096,0.006554178899296,0.9696969696969696,0.0300882294148888,0.0308132139103362,0.0150441147074444,5.4365486679422235
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,fusion,33,0.5454545454545454,0.4903846153846154,0.0058592001994627,0.0071252829532917,0.9696969696969696,0.0430459778802276,0.0436723259169868,0.0215229889401138,7.346732730548236
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,fusion_case,33,0.4848484848484848,0.4269230769230769,0.005608534880108,0.0067510724642537,0.9696969696969696,0.0356746851651203,0.0325871777452918,0.0178373425825601,6.360785111927996
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,baseline,18,0.7222222222222222,0.5,0.0098673717474165,0.0128497478448941,0.8888888888888888,0.0480367114649854,0.0482239150418079,0.0240183557324927,4.868237732865636
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_main,18,0.6111111111111112,0.4230769230769231,0.0127703673792732,0.0155311576434497,0.9444444444444444,0.059603048658399,0.0602276586514239,0.0298015243291995,4.667293186501176
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_interactions,18,0.6111111111111112,0.4230769230769231,0.0121192684451244,0.0147110645279349,1.0,0.0653018499471328,0.0673539624374804,0.0326509249735664,5.3882666468539115
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,rag_memory,18,0.6666666666666666,0.4615384615384615,0.0104463852103319,0.0131099931659511,0.9444444444444444,0.0509024868645903,0.0512061249863419,0.0254512434322951,4.872736917096036
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_rag,18,0.6666666666666666,0.4615384615384615,0.0131149969422299,0.0154077244408386,1.0,0.0635393761810031,0.0633585784428782,0.0317696880905015,4.844787723617978
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,case_model,18,0.6666666666666666,0.5846153846153846,0.0114089027318897,0.0152096101875118,0.9444444444444444,0.054199006780836,0.0535450624912698,0.027099503390418,4.750588908900172
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,fusion,18,0.6666666666666666,0.4615384615384615,0.0123101054891667,0.0146142712509655,1.0,0.0633194602422339,0.0654612807076056,0.0316597301211169,5.143697614773237
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,fusion_case,18,0.7222222222222222,0.5,0.0116841672202936,0.0142723258449836,1.0,0.0636034217019411,0.0639134646624653,0.0318017108509705,5.4435562674481135
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,baseline,18,0.3888888888888889,0.448051948051948,0.0217069164840373,0.0369477413168479,0.6666666666666666,0.0457296398293664,0.0461113929517428,0.0228648199146832,2.1066852062104138
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_main,18,0.5555555555555556,0.5844155844155844,0.0201856743326612,0.030906923474165,0.8333333333333334,0.067370847020078,0.0665390313327994,0.033685423510039,3.3375574137282795
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_interactions,18,0.6111111111111112,0.6038961038961039,0.0225235662303253,0.0367018872140143,0.8333333333333334,0.0680631866647554,0.0682958367892268,0.0340315933323777,3.021865452777021
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,rag_memory,18,0.6111111111111112,0.6038961038961039,0.0174487825983944,0.0324630698028901,0.8888888888888888,0.0519320868809827,0.0511556894935313,0.0259660434404913,2.9762584631985245
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_rag,18,0.6111111111111112,0.6298701298701299,0.0193196970536643,0.0294983410539359,0.8333333333333334,0.0544341294453065,0.0544299876684947,0.0272170647226532,2.8175457044748105
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,case_model,18,0.4444444444444444,0.3636363636363636,0.0224726001490907,0.0357538081102461,0.7777777777777778,0.0645705974086608,0.0648566505150245,0.0322852987043304,2.873303355209356
