segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,rag_memory,63,0.6190476190476191,0.5,0.0111331788408856,0.0157235592005094,0.9206349206349206,0.0739655725986619,0.082067912087912,0.0369827862993309,6.643706497108428
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_rag,63,0.6190476190476191,0.5,0.0111331788408856,0.0157235592005094,0.9206349206349206,0.0739655725986619,0.082067912087912,0.0369827862993309,6.643706497108428
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,case_model,63,0.5238095238095238,0.4791666666666666,0.0109185807697427,0.0152116231157715,0.9682539682539684,0.0736469915736205,0.0792932622553189,0.0368234957868102,6.745106633062495
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion,63,0.6031746031746031,0.4871794871794871,0.0111521918659971,0.0158055068343055,0.9206349206349206,0.0745659534655859,0.082067912087912,0.0372829767327929,6.686215083237259
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion_case,63,0.6349206349206349,0.5208333333333334,0.0110317912390554,0.0152486178489613,0.9523809523809524,0.0728382155639074,0.0800418911715898,0.0364191077819537,6.602573778412435
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,baseline,22,0.4090909090909091,0.409090909090909,0.0066651155751204,0.0081947272437848,0.9545454545454546,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.736793766926133
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_main,22,0.5909090909090909,0.5909090909090908,0.0064490270749478,0.0079155459873909,0.9545454545454546,0.0248842882507081,0.0227957536791761,0.012442144125354,3.858611223292044
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_interactions,22,0.5,0.5,0.0066998094086111,0.0081153704083945,0.9090909090909092,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.717443410396241
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,rag_memory,22,0.4545454545454545,0.4545454545454545,0.0065461718343587,0.008158697042622,0.9545454545454546,0.0249061623369522,0.0227957536791761,0.0124530811684761,3.804691194665556
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_rag,22,0.3181818181818182,0.3181818181818182,0.0071307799842217,0.0083926614339378,0.9090909090909092,0.0248982029470129,0.0227957536791761,0.0124491014735064,3.4916521056750036
